Cable ID,Injected,Failed,Age_at_first_Fault,1km bins 
731,0,0,0,1000-2000
732,0,0,0,0-1000
733,0,0,0,2000-3000
734,1,1,35,2000-3000
735,0,0,0,0-1000
736,0,0,0,0-1000
737,0,0,0,0-1000
738,0,0,0,0-1000
739,0,0,0,0-1000
740,0,0,0,0-1000
741,0,0,0,1000-2000
742,0,0,0,0-1000
743,0,0,0,0-1000
744,0,0,0,0-1000
745,0,0,0,0-1000
746,0,0,0,0-1000
747,0,1,40,0-1000
748,0,0,0,0-1000
749,0,0,0,0-1000
750,1,0,0,0-1000
751,0,0,0,0-1000
752,0,0,0,3000-4000
753,0,0,0,0-1000
754,0,0,0,0-1000
755,0,0,0,0-1000
756,0,0,0,0-1000
757,0,0,0,0-1000
758,0,0,0,0-1000
759,0,0,0,0-1000
760,0,0,0,0-1000
761,0,0,0,0-1000
762,0,0,0,0-1000
763,0,0,0,0-1000
764,0,0,0,0-1000
765,0,0,0,0-1000
766,0,0,0,0-1000
767,0,0,0,0-1000
768,1,1,32,2000-3000
769,0,0,0,0-1000
770,0,0,0,0-1000
771,0,0,0,0-1000
772,0,0,0,0-1000
773,0,0,0,0-1000
774,0,0,0,0-1000
775,0,0,0,1000-2000
776,0,0,0,0-1000
777,0,0,0,0-1000
778,0,0,0,0-1000
779,0,0,0,0-1000
780,0,0,0,0-1000
781,0,0,0,0-1000
782,0,0,0,5000-max
783,1,0,0,5000-max
784,0,0,0,0-1000
785,0,0,0,5000-max
786,0,0,0,0-1000
787,0,0,0,0-1000
788,0,0,0,0-1000
789,0,0,0,0-1000
790,0,0,0,0-1000
791,1,1,35,3000-4000
792,0,0,0,0-1000
793,0,0,0,0-1000
794,0,0,0,4000-5000
795,0,0,0,0-1000
796,1,1,28,1000-2000
797,0,0,0,0-1000
798,0,0,0,0-1000
799,0,0,0,0-1000
800,0,0,0,0-1000
801,0,0,0,0-1000
802,0,0,0,0-1000
803,0,0,0,0-1000
804,0,0,0,0-1000
805,0,0,0,0-1000
806,0,0,0,0-1000
807,0,0,0,0-1000
808,0,0,0,0-1000
809,0,0,0,0-1000
810,0,0,0,0-1000
811,0,0,0,0-1000
812,0,0,0,0-1000
813,0,0,0,0-1000
814,0,0,0,0-1000
815,0,0,0,0-1000
816,0,0,0,0-1000
817,0,0,0,2000-3000
818,0,0,0,0-1000
819,0,0,0,3000-4000
820,1,1,14,1000-2000
821,0,0,0,0-1000
822,1,1,34,3000-4000
823,0,0,0,0-1000
824,0,0,0,0-1000
825,0,0,0,0-1000
826,0,0,0,0-1000
827,0,0,0,0-1000
828,0,0,0,2000-3000
829,0,0,0,0-1000
830,0,0,0,0-1000
831,0,0,0,0-1000
832,0,0,0,0-1000
833,0,0,0,0-1000
834,0,0,0,0-1000
835,0,0,0,0-1000
836,0,0,0,0-1000
837,1,0,0,3000-4000
838,0,0,0,0-1000
839,0,0,0,1000-2000
840,0,0,0,0-1000
841,0,0,0,5000-max
842,0,0,0,0-1000
843,0,0,0,0-1000
844,0,0,0,1000-2000
845,0,0,0,0-1000
846,1,0,0,0-1000
847,0,0,0,0-1000
848,1,0,0,1000-2000
849,0,0,0,5000-max
850,0,0,0,0-1000
851,0,0,0,3000-4000
852,0,0,0,0-1000
853,0,0,0,0-1000
854,1,1,27,3000-4000
855,0,0,0,2000-3000
856,1,1,43,1000-2000
857,0,0,0,0-1000
858,0,0,0,5000-max
859,0,0,0,0-1000
860,0,0,0,0-1000
861,0,0,0,0-1000
862,0,0,0,0-1000
863,0,0,0,2000-3000
864,0,1,0,0-1000
865,1,1,42,0-1000
866,1,0,0,1000-2000
867,0,0,0,0-1000
